id,name,side,avg_bat_speed,ideal_attack_angle_rate,competitive_swings,raw_swing_power_score,swing_path_efficiency_score,mechanical_swing_quality_score,mechanical_swing_quality_percentile,mechanical_swing_quality_shrunk,mechanical_swing_quality_shrunk_percentile,mechanical_swing_quality_adjusted_label,xwoba,xba,xslg,avg_exit_velocity,hard_hit_rate,barrel_rate,expanded_latent_swing_quality_score,expanded_latent_swing_quality_percentile,expanded_latent_swing_quality_shrunk,expanded_latent_swing_quality_shrunk_percentile,expanded_lsq_label,msq_reliability,msq_uncertainty_proxy,date_start,date_end,dashboard_ranking_score
666624,"Morel, Christopher",R,75.970519783,0.6865942028985506,552,1.690002180736183,2.089511841238967,1.8897570109875748,99.82964224872232,1.8821869317540592,99.65928449744463,Elite reliability-adjusted mechanical profile,0.304,0.213,0.42,91.8,49.7,14.8,1.6320586111075395,98.12606473594549,1.6255208324788633,98.29642248722317,Elite reliability-adjusted mechanical profile,0.9959941520579095,0.04256282653793743,2025-03-28,2025-09-30,1.6255208324788633
701762,"Kurtz, Nick",L,77.216198269,0.4807692307692308,728,2.161890059559143,-0.32337003192247965,0.9192600138183317,91.48211243611584,0.918626473087528,93.35604770017035,Elite reliability-adjusted mechanical profile,0.372,0.245,0.537,92.7,51.1,18.4,1.5895935453036043,97.78534923339012,1.5884980203800418,98.12606473594549,Elite reliability-adjusted mechanical profile,0.9993108144363072,0.03706246583305506,2025-03-28,2025-09-30,1.5884980203800418
606466,"Marte, Ketel",R,74.60469697,0.6131736526946108,835,1.1726012323227781,1.2288042561879182,1.2007027442553482,96.76320272572401,1.2004189023069385,97.9557069846678,Elite reliability-adjusted mechanical profile,0.39,0.285,0.534,90.8,47.0,13.5,1.5812225110285476,97.61499148211243,1.5808487155320794,97.9557069846678,Elite reliability-adjusted mechanical profile,0.9997636034815713,0.03460642701029914,2025-03-28,2025-09-30,1.5808487155320794
621439,"Buxton, Byron",R,75.034639795,0.581270182992465,929,1.3354721576735749,0.8548005435242438,1.0951363505989093,95.05962521294718,1.0950352223568711,96.9335604770017,Elite reliability-adjusted mechanical profile,0.35,0.249,0.514,92.5,53.8,17.6,1.5728205617868096,97.44463373083475,1.572675322722863,97.78534923339012,Elite reliability-adjusted mechanical profile,0.99990765693972,0.03280893574623933,2025-03-28,2025-09-30,1.572675322722863
701350,"Anthony, Roman",L,75.14686412,0.527710843373494,415,1.3779849723940407,0.22692551763129193,0.8024552450126663,87.56388415672913,0.7898050063198306,89.26746166950596,Strong reliability-adjusted mechanical profile,0.372,0.258,0.484,94.5,60.3,15.5,1.5953497166362627,97.9557069846678,1.570199959264214,97.61499148211243,Elite reliability-adjusted mechanical profile,0.9842355835151455,0.0490880693673816,2025-03-28,2025-09-30,1.570199959264214
666176,"Adell, Jo",R,77.610932883,0.4941747572815532,1030,2.3114234116976977,-0.16621732305950954,1.0726030443190941,94.8892674616695,1.072566969358808,96.59284497444634,Elite reliability-adjusted mechanical profile,0.365,0.26,0.549,91.7,50.0,17.3,1.5570636946100977,97.27427597955707,1.5570113257386469,97.44463373083475,Elite reliability-adjusted mechanical profile,0.9999663669048143,0.03115884764248779,2025-03-28,2025-09-30,1.5570113257386469
700250,"Rice, Ben",L,73.414293995,0.5670103092783507,776,0.7216528205692051,0.6876323401599813,0.7046425803645933,83.98637137989779,0.7043420808991655,86.37137989778535,Strong reliability-adjusted mechanical profile,0.391,0.28,0.553,93.3,56.1,15.4,1.5494270312676408,97.10391822827938,1.5487662679138645,97.27427597955707,Elite reliability-adjusted mechanical profile,0.9995735434193144,0.03589790793088691,2025-03-28,2025-09-30,1.5487662679138645
543807,"Springer, George",R,73.733336474,0.581877729257642,916,0.8425124808762309,0.8619227957718063,0.8522176383240185,89.26746166950596,0.8521280166474031,91.9931856899489,Elite reliability-adjusted mechanical profile,0.404,0.291,0.571,90.0,47.6,16.1,1.5058543838458818,96.9335604770017,1.5056960238348354,97.10391822827938,Elite reliability-adjusted mechanical profile,0.99989483710195,0.03304093002275449,2025-03-28,2025-09-30,1.5056960238348354
669065,"Stowers, Kyle",L,75.02034389,0.5236907730673316,802,1.3300565834607092,0.1797983169314685,0.7549274501960889,85.34923339011925,0.7546792149346924,88.24531516183987,Strong reliability-adjusted mechanical profile,0.375,0.265,0.537,91.1,52.0,19.0,1.4731445763503974,96.25212947189097,1.4726601769171934,96.9335604770017,Elite reliability-adjusted mechanical profile,0.9996711799771859,0.035311227577322434,2025-03-28,2025-09-30,1.4726601769171934
608369,"Seager, Corey",L,72.549148681,0.5458333333333332,720,0.39391850414216717,0.4393750910152844,0.4166467975787258,72.7427597955707,0.4163357349925479,75.63884156729131,Strong reliability-adjusted mechanical profile,0.4,0.285,0.569,92.9,53.6,15.3,1.375222541378242,96.08177172061329,1.374195819745489,96.76320272572401,Elite reliability-adjusted mechanical profile,0.9992534141916233,0.037267799624996496,2025-03-28,2025-09-30,1.374195819745489
