id,name,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_y_position,avg_batter_x_position,competitive_swings,date_start,date_end,z_bat_speed,latent_swing_quality_score,latent_swing_quality_percentile,latent_swing_quality_0_100,lsq_reliability,lsq_uncertainty_proxy,latent_swing_quality_shrunk,lsq_label
519317,"Stanton, Giancarlo",R,80.620201027,27.9289177805572,10.46551168956727,-4.249248846862946,0.6205357142857143,-0.9878568816488068,25.85092221597052,26.83877909761932,33.792112832219225,448,2025-03-28,2025-09-30,3.451394260709903,3.451394260709903,100.0,100.0,0.9886665868453326,0.0472455591261534,3.4122781835936298,Elite swing-quality profile
665833,"Cruz, Oneil",L,78.773176469,33.444853125022554,9.163125391817756,-7.280277869657375,0.4765432098765431,7.49375877507538,35.34026577230221,27.84650699722684,26.70693478936471,810,2025-03-28,2025-09-30,2.7517044847330485,2.7517044847330485,99.82964224872232,99.82964224872232,0.9996964608619211,0.03513641844631533,2.7508692347255046,Elite swing-quality profile
691406,"Caminero, Junior",R,78.537769633,26.211023825261872,7.998660224356186,-5.322043650880698,0.5939505041246561,7.691020535541663,35.92782052530548,28.236799989763824,28.63693533218145,1091,2025-03-28,2025-09-30,2.662527675669599,2.662527675669599,99.65928449744463,99.65928449744463,0.9999817254285012,0.03027524209883363,2.6624790191172223,Elite swing-quality profile
656180,"Adams, Riley",R,78.30455994,34.63606296887628,8.452584134327873,-1.026635330164948,0.4039999999999999,2.1138205181188034,30.644403429943967,28.530582911825164,29.03788605422992,500,2025-03-28,2025-09-30,2.574183188237615,2.574183188237615,99.48892674616695,99.48892674616695,0.9932620530009145,0.044721359549995794,2.556838478349333,Elite swing-quality profile
691023,"Walker, Jordan",R,78.067879778,31.39907466020421,6.198435157665527,-5.356971636404478,0.4785819793205317,6.332488419973807,30.063922912354435,23.73143449238062,31.76069120469863,677,2025-03-28,2025-09-30,2.4845240178650974,2.4845240178650974,99.31856899488926,99.31856899488926,0.9988523053490985,0.03843312210120439,2.4816725429397573,Elite swing-quality profile
678877,"Noel, Jhonkensy",R,77.88257625,29.11294246266346,6.743332728643523,-4.997773369873892,0.4324324324324324,6.649315117172629,35.66496929761736,29.015654180444734,33.50308161354365,296,2025-03-28,2025-09-30,2.4143273421184364,2.4143273421184364,99.14821124361158,99.14821124361158,0.9481810828272742,0.05812381937190964,2.289219513549354,Elite swing-quality profile
666176,"Adell, Jo",R,77.610932883,33.85155985997799,7.984119085154552,-5.83626011775412,0.4941747572815532,0.0440812505479272,26.127229032447715,26.08314778189979,28.095246075733574,1030,2025-03-28,2025-09-30,2.311423411697698,2.311423411697698,98.9778534923339,98.9778534923339,0.9999663669048143,0.03115884764248779,2.3113456713740783,Elite swing-quality profile
695506,"Caglianone, Jac",L,77.409733367,28.474347965386784,8.531603092810686,-4.05157584810765,0.4948979591836734,10.972573797632132,32.86034695729794,21.8877731596658,28.97923902999557,392,2025-03-28,2025-09-30,2.2352050183542276,2.2352050183542276,98.80749574105621,98.80749574105621,0.9801589052556298,0.050507627227610534,2.1908561038119694,Elite swing-quality profile
656941,"Schwarber, Kyle",L,77.311661216,30.31986316239254,14.574223095815483,-5.802378862172482,0.6422907488986783,12.36012581621196,33.428014366233334,21.067888550021383,25.29348930720976,1135,2025-03-28,2025-09-30,2.19805332967443,2.19805332967443,98.63713798977854,98.63713798977854,0.9999882305103751,0.02968260885977624,2.1980274597085714,Elite swing-quality profile
671286,"Rodríguez, Johnathan",R,77.272999919,31.58991054857763,7.346176027115058,-2.598597440284844,0.2926829268292683,5.14773247388179,34.82320118364572,29.675468709763937,29.06764875629222,123,2025-03-28,2025-09-30,2.1834076585490827,2.1834076585490827,98.46678023850085,98.46678023850085,0.7077074223191406,0.09016696346674323,1.5452138059036418,Elite swing-quality profile
