id,name,side,avg_bat_speed,ideal_attack_angle_rate,competitive_swings,z_avg_bat_speed,z_ideal_attack_angle_rate,raw_swing_power_score,swing_path_efficiency_score,mechanical_swing_quality_score,mechanical_swing_quality_percentile,mechanical_swing_quality_shrunk,mechanical_swing_quality_shrunk_percentile,msq_reliability,msq_uncertainty_proxy,mechanical_swing_quality_label,date_start,date_end
519317,"Stanton, Giancarlo",R,80.620201027,0.6205357142857143,448,3.451394260709903,1.3151095513059021,3.451394260709903,1.3151095513059021,2.3832519060079025,100.0,2.3562415275054662,100.0,0.9886665868453326,0.0472455591261534,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
666624,"Morel, Christopher",R,75.970519783,0.6865942028985506,552,1.6900021807361831,2.089511841238967,1.6900021807361831,2.089511841238967,1.889757010987575,99.82964224872232,1.8821869317540594,99.65928449744463,0.9959941520579095,0.04256282653793743,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
656941,"Schwarber, Kyle",L,77.311661216,0.6422907488986783,1135,2.19805332967443,1.5701433702083034,2.19805332967443,1.5701433702083034,1.8840983499413666,99.65928449744463,1.8840761750653847,99.82964224872232,0.9999882305103751,0.02968260885977624,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
670231,"Rave, John",L,73.854857249,0.7472118959107805,269,0.8885469764480488,2.8001317973547764,0.8885469764480488,2.8001317973547764,1.8443393869014126,99.48892674616695,1.7191438967982062,99.31856899488926,0.9321190606282386,0.06097107608496923,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
691406,"Caminero, Junior",R,78.537769633,0.5939505041246561,1091,2.662527675669599,1.0034516847788937,2.662527675669599,1.0034516847788937,1.8329896802242462,99.31856899488926,1.8329561831232783,99.48892674616695,0.9999817254285012,0.03027524209883363,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
663609,"Baker, Luken",R,75.965784615,0.6769230769230768,65,1.6882084045664079,1.9761374323036907,1.6882084045664079,1.9761374323036907,1.8321729184350493,99.14821124361158,0.8756947840701262,92.67461669505963,0.47795422323898396,0.12403473458920847,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
669003,"Mitchell, Garrett",L,76.079456609,0.6434782608695652,115,1.731269625204874,1.5840645483776599,1.731269625204874,1.5840645483776599,1.657667086791267,98.9778534923339,1.1327887357236937,97.10391822827938,0.6833632306209467,0.09325048082403138,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
682998,"Carroll, Corbin",L,74.645728403,0.6843082636954503,1077,1.1881447582815599,2.0627138234413778,1.1881447582815599,2.0627138234413778,1.6254292908614687,98.80749574105621,1.6253951231011798,99.14821124361158,0.9999789792392195,0.03047138176680026,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
662139,"Varsho, Daulton",L,75.60905042,0.6238938053097345,452,1.5530703697732418,1.354476382630886,1.5530703697732418,1.354476382630886,1.453773376202064,98.63713798977854,1.4379432034998854,98.9778534923339,0.9891109763314455,0.047036043419179864,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
668904,"Lewis, Royce",R,73.64248631,0.6837481698389457,683,0.8080966250494658,2.0561478547950665,0.8080966250494658,2.0561478547950665,1.4321222399222662,98.46678023850085,1.430574318973846,98.80749574105621,0.9989191418823967,0.03826393658966905,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
686894,"Wiemer, Joey",R,72.466694818,0.7181818181818181,110,0.3626833347552613,2.459812799110622,0.3626833347552613,2.459812799110622,1.4112480669329417,98.29642248722317,0.9414843935261535,93.8671209540034,0.6671289163019205,0.09534625892455924,Elite bat-tracking mechanical profile,2025-03-28,2025-09-30
