id,name,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_y_position,avg_batter_x_position,competitive_swings,date_start,date_end
519317,"Stanton, Giancarlo",R,80.620201027,27.9289177805572,10.465511689567272,-4.249248846862946,0.6205357142857142,-0.9878568816488073,25.850922215970517,26.838779097619327,33.79211283221922,448,2025-03-28,2025-09-30
665833,"Cruz, Oneil",L,78.773176469,33.444853125022576,9.163125391817752,-7.280277869657375,0.4765432098765432,7.493758775075381,35.340265772302224,27.84650699722683,26.70693478936472,810,2025-03-28,2025-09-30
691406,"Caminero, Junior",R,78.537769633,26.21102382526187,7.998660224356184,-5.322043650880696,0.5939505041246562,7.69102053554166,35.927820525305485,28.236799989763814,28.63693533218145,1091,2025-03-28,2025-09-30
656180,"Adams, Riley",R,78.30455994,34.636062968876274,8.452584134327871,-1.026635330164949,0.4040000000000001,2.113820518118804,30.644403429943964,28.53058291182516,29.03788605422993,500,2025-03-28,2025-09-30
691023,"Walker, Jordan",R,78.067879778,31.399074660204214,6.198435157665529,-5.356971636404477,0.4785819793205317,6.332488419973807,30.063922912354432,23.73143449238062,31.76069120469864,677,2025-03-28,2025-09-30
678877,"Noel, Jhonkensy",R,77.88257625,29.112942462663472,6.743332728643523,-4.997773369873894,0.4324324324324324,6.649315117172628,35.66496929761737,29.015654180444734,33.50308161354364,296,2025-03-28,2025-09-30
666176,"Adell, Jo",R,77.610932883,33.85155985997799,7.984119085154552,-5.836260117754117,0.4941747572815534,0.0440812505479268,26.127229032447705,26.083147781899783,28.095246075733566,1030,2025-03-28,2025-09-30
695506,"Caglianone, Jac",L,77.409733367,28.47434796538678,8.531603092810686,-4.051575848107648,0.4948979591836734,10.972573797632132,32.86034695729794,21.8877731596658,28.979239029995565,392,2025-03-28,2025-09-30
656941,"Schwarber, Kyle",L,77.311661216,30.319863162392537,14.574223095815482,-5.802378862172483,0.6422907488986784,12.360125816211966,33.42801436623334,21.06788855002137,25.293489307209757,1135,2025-03-28,2025-09-30
671286,"Rodríguez, Johnathan",R,77.272999919,31.58991054857763,7.346176027115059,-2.598597440284844,0.2926829268292683,5.147732473881791,34.82320118364573,29.675468709763933,29.067648756292225,123,2025-03-28,2025-09-30
701762,"Kurtz, Nick",L,77.216198269,39.08201892392702,14.221900629166967,1.81759994222091,0.4807692307692308,1.321653858042791,24.75380355168218,23.432149693639385,27.741253815479013,728,2025-03-28,2025-09-30
695657,"Montgomery, Colson",L,77.0448783,32.84445104779426,11.501777223987776,-8.664327096139672,0.5242914979757085,2.615782130391853,34.85754092018734,32.24175878979549,28.116495956535687,494,2025-03-28,2025-09-30
592450,"Judge, Aaron",R,77.006817835,38.41614805970202,14.079183990257969,-6.045278757365916,0.5074478649453824,4.357304731249974,30.55798397365993,26.200679242409965,33.0900813592592,1007,2025-03-28,2025-09-30
665489,"Guerrero Jr., Vladimir",R,76.645310671,27.39942169848998,1.2039644608678883,-4.359633835254493,0.3041125541125541,6.515698085662778,34.35755971529303,27.841861629630248,28.983408554752582,924,2025-03-28,2025-09-30
670242,"Wallner, Matt",L,76.540547781,28.21614181595358,12.463885929824714,-6.213825595643345,0.5649635036496351,10.57533901658747,37.33856394008821,26.763224923500747,31.355716432722076,685,2025-03-28,2025-09-30
641343,"Bauers, Jake",L,76.470618812,34.480397197970206,12.030308497951395,-2.9260746854792297,0.5014492753623188,-0.2945734787187061,29.36903853328867,29.66361201200738,26.458704042382365,345,2025-03-28,2025-09-30
677594,"Rodríguez, Julio",R,76.448462517,31.738222782589173,6.959206308574216,-1.5760034374837637,0.4659468438538206,12.04048857516786,32.36304114464516,20.3225525694773,29.68676214771833,1204,2025-03-28,2025-09-30
660670,"Acuña Jr., Ronald",R,76.414268656,38.71279583046433,11.874335218131352,6.162005269424571,0.5091937765205091,-1.0701375459309224,30.1999988458736,31.27013639180452,25.48062667860563,707,2025-03-28,2025-09-30
670541,"Alvarez, Yordan",L,76.115865016,36.58981190646357,9.957161047096262,-4.633100438697079,0.4077669902912622,10.260669713103956,35.94794975813597,25.68728004503201,28.144695942416423,309,2025-03-28,2025-09-30
656577,"Jackson, Alex",R,76.106544651,30.832961217004083,11.66360232548368,-8.65899871300054,0.5116279069767442,4.706719973070746,35.45003997397291,30.74332000090217,27.30414027496737,172,2025-03-28,2025-09-30
669003,"Mitchell, Garrett",L,76.079456609,31.809078488630952,9.770999922732983,7.564327394777182,0.6434782608695653,-4.268067860215146,27.536247380641523,31.804315240856667,28.0104053587673,115,2025-03-28,2025-09-30
695578,"Wood, James",L,76.036631333,39.69367087949353,11.056168821552074,1.9746622150622368,0.4186274509803921,1.6726356104544164,32.64482925439859,30.972193643944173,30.134872605314072,1020,2025-03-28,2025-09-30
666624,"Morel, Christopher",R,75.970519783,27.261689743097435,14.924126944167538,-9.23758565873626,0.6865942028985506,7.012929108426492,34.455585802205505,27.442656693779018,26.37997579984831,552,2025-03-28,2025-09-30
672744,"Canario, Alexander",R,75.96625729,35.16700771613608,13.555756379193262,1.9054868804328509,0.4789719626168224,0.6362603495896075,28.94967863188153,28.313418282291924,27.544641136004927,428,2025-03-28,2025-09-30
663609,"Baker, Luken",R,75.965784615,28.95888678115374,10.079584781837672,-4.969543068514594,0.676923076923077,4.721599758723102,31.359949574165597,26.638349815442485,28.84073471033272,65,2025-03-28,2025-09-30
575929,"Contreras, Willson",R,75.958623151,32.777228695330685,9.350098373288716,-1.5862968408659313,0.4748358862144421,5.091986602452087,27.829092031458444,22.73710542900636,30.298443847285352,914,2025-03-28,2025-09-30
680718,"Barger, Addison",L,75.928020187,28.809563827112218,9.06435633709346,-4.995597266724771,0.5099415204678364,-1.6682471849543925,31.52878073775632,33.197027922710696,25.47178742344957,855,2025-03-28,2025-09-30
595751,"Alfaro, Jorge",R,75.876752955,35.526878278678424,3.684986787354368,6.852939162264869,0.3636363636363636,-3.921997243939501,24.48856484541573,28.41056208935524,26.494553339772224,88,2025-03-28,2025-09-30
663586,"Riley, Austin",R,75.875444114,32.130797342706195,10.882225464160042,-4.529909572036823,0.4569620253164556,6.777127107121708,35.615670881157044,28.838543774035355,28.14675790674221,790,2025-03-28,2025-09-30
660821,"Sánchez, Jesús",L,75.851158487,27.846344695775183,7.114634655420619,-1.7801513176787882,0.4818401937046006,8.702681116236123,35.02893739884836,26.32625628261224,28.42052650929088,826,2025-03-28,2025-09-30
