id,name,side,avg_bat_speed,ideal_attack_angle_rate,competitive_swings,mechanical_swing_quality_shrunk,mechanical_swing_quality_shrunk_percentile,msq_reliability,mechanical_swing_quality_adjusted_label,raw_swing_power_score,swing_path_efficiency_score,date_start,date_end
519317,"Stanton, Giancarlo",R,80.620201027,0.6205357142857144,448,2.356244797781488,100.0,0.9886665868453326,Elite,3.4513884082149855,1.3151220193293818,2025-03-28,2025-09-30
656941,"Schwarber, Kyle",L,77.311661216,0.6422907488986784,1135,1.8840793778201905,99.82964224872232,0.9999882305103751,Elite,2.198049034072779,1.5701540713949562,2025-03-28,2025-09-30
666624,"Morel, Christopher",R,75.970519783,0.6865942028985507,552,1.8821886441543092,99.65928449744463,0.9959941520579095,Elite,1.6899985162328977,2.08951894431716,2025-03-28,2025-09-30
691406,"Caminero, Junior",R,78.537769633,0.5939505041246563,1091,1.8329610603212685,99.48892674616695,0.9999817254285012,Elite,2.6625228031004498,1.0034663119222837,2025-03-28,2025-09-30
670231,"Rave, John",L,73.854857249,0.7472118959107805,269,1.7191436689265733,99.31856899488926,0.9321190606282386,Elite,0.8885443075080454,2.8001339773623197,2025-03-28,2025-09-30
682998,"Carroll, Corbin",L,74.645728403,0.6843082636954503,1077,1.62539724687263,99.14821124361158,0.9999789792392195,Elite,1.1881417171828264,2.0627211121722997,2025-03-28,2025-09-30
662139,"Varsho, Daulton",L,75.60905042,0.6238938053097345,452,1.4379475065720537,98.9778534923339,0.9891109763314455,Elite,1.5530668753659047,1.3544885779267408,2025-03-28,2025-09-30
668904,"Lewis, Royce",R,73.64248631,0.6837481698389458,683,1.4305766990055726,98.80749574105621,0.9989191418823967,Elite,0.80809405604445,2.056155189014056,2025-03-28,2025-09-30
670242,"Wallner, Matt",L,76.540547781,0.564963503649635,685,1.283434263702593,98.63713798977854,0.9989405443070923,Elite,1.9059362334946164,0.6636546616128353,2025-03-28,2025-09-30
665742,"Soto, Juan",L,73.584570689,0.6575492341356675,914,1.2674551173020103,98.46678023850085,0.9998927126704883,Elite,0.7861544898539956,1.7490277376810428,2025-03-28,2025-09-30
545341,"Grichuk, Randal",R,73.901450543,0.6456521739130434,460,1.2452332594214677,98.29642248722317,0.9899481642553665,Elite,0.9061947555235164,1.6095597140211095,2025-03-28,2025-09-30
624413,"Alonso, Pete",R,75.248346241,0.5966312056737589,1128,1.225643030618842,98.12606473594549,0.9999873771260881,Elite,1.4164251011139244,1.034891902789218,2025-03-28,2025-09-30
606466,"Marte, Ketel",R,74.60469697,0.6131736526946108,835,1.200423923191354,97.9557069846678,0.9997636034815713,Elite,1.172598210532128,1.2288173221218004,2025-03-28,2025-09-30
661388,"Contreras, William",R,73.246505578,0.656160458452722,1047,1.1953841288679405,97.78534923339012,0.9999716249409186,Elite,0.6580888358662931,1.7327472619851183,2025-03-28,2025-09-30
665833,"Cruz, Oneil",L,78.773176469,0.4765432098765432,810,1.1890450070685177,97.61499148211243,0.9996964608619211,Elite,2.7516995013889534,-0.37288742468450353,2025-03-28,2025-09-30
696100,"Goodman, Hunter",R,74.380206309,0.6106280193236715,1035,1.143229370661048,97.44463373083475,0.9999680072102223,Elite,1.0875567721238426,1.1989751217324536,2025-03-28,2025-09-30
695657,"Montgomery, Colson",L,77.0448783,0.5242914979757085,494,1.1337536707873346,97.27427597955707,0.9928454016276854,Elite,2.0969864650628494,0.18686088705993256,2025-03-28,2025-09-30
669003,"Mitchell, Garrett",L,76.079456609,0.6434782608695653,115,1.1327910895605837,97.10391822827938,0.6833632306209467,Elite,1.731265909439394,1.5840751531204358,2025-03-28,2025-09-30
621439,"Buxton, Byron",R,75.034639795,0.581270182992465,929,1.0950414382171407,96.9335604770017,0.99990765693972,Elite,1.33546893356555,0.8548162005008972,2025-03-28,2025-09-30
608701,"Refsnyder, Rob",R,73.244695518,0.6463414634146342,328,1.0947187097853666,96.76320272572401,0.9623717431928238,Elite,0.6574031498545929,1.617640184550593,2025-03-28,2025-09-30
666176,"Adell, Jo",R,77.610932883,0.4941747572815535,1030,1.0725761160557046,96.59284497444634,0.9999663669048143,Elite,2.31141897526835,-0.16619459262108452,2025-03-28,2025-09-30
691023,"Walker, Jordan",R,78.067879778,0.4785819793205317,677,1.0665406445391459,96.42248722316864,0.9988523053490985,Elite,2.4845193664111207,-0.3489871384179335,2025-03-28,2025-09-30
669127,"Langeliers, Shea",R,73.834070544,0.6149490373725933,883,1.064994128789644,96.25212947189097,0.9998537217605156,Elite,0.8806698984564849,1.2496299756379596,2025-03-28,2025-09-30
694212,"Basallo, Samuel",L,75.494351542,0.5841121495327103,214,1.0578211040263896,96.08177172061329,0.8823451569782208,Elite,1.5096167045414883,0.8881322844122758,2025-03-28,2025-09-30
683011,"Volpe, Anthony",R,72.603594427,0.6501547987616098,969,1.0383782637482348,95.9114139693356,0.999938100595582,Elite,0.4145415595287501,1.6623435259175534,2025-03-28,2025-09-30
592669,"Renfroe, Hunter",R,74.553702828,0.6413793103448275,145,1.0382097276643774,95.74105621805792,0.7654297119062023,Elite,1.1532806355080298,1.5594693701818514,2025-03-28,2025-09-30
592450,"Judge, Aaron",R,77.006817835,0.5074478649453823,1007,1.0359427029824726,95.57069846678023,0.9999576693860653,Elite,2.0825684190039664,-0.010595305145055198,2025-03-28,2025-09-30
602104,"Urías, Ramón",R,70.849504921,0.7056962025316456,632,1.029896901027268,95.40034071550255,0.9982000564937694,Elite,-0.24994173800635688,2.31344973788533,2025-03-28,2025-09-30
665019,"Clemens, Kody",L,72.190420994,0.6605504587155964,654,1.019642106306552,95.22998296422487,0.9985555115009794,Elite,0.25802340907255084,1.7842107873495916,2025-03-28,2025-09-30
695506,"Caglianone, Jac",L,77.409733367,0.4948979591836733,392,1.0181322735723195,95.05962521294718,0.9801589052556298,Elite,2.2352006766029513,-0.15771657047877896,2025-03-28,2025-09-30
682622,"Marte, Noelvi",R,73.255035959,0.6234887737478412,579,1.0024554783969157,94.8892674616695,0.9969420178235767,Elite,0.661320310472761,1.3497404342340886,2025-03-28,2025-09-30
657041,"Thomas, Lane",R,72.721803398,0.6650485436893201,206,1.0017974954408695,94.71890971039181,0.8725460301051793,Elite,0.4593214220042017,1.8369413787562578,2025-03-28,2025-09-30
660271,"Ohtani, Shohei",L,75.819007365,0.5359361135758651,1127,0.977973624436821,94.54855195911414,0.9999872502640962,Elite,1.6326026588460427,0.32336952815641895,2025-03-28,2025-09-30
673357,"Robert Jr., Luis",R,75.6211123,0.5413744740532961,713,0.9716009088886647,94.37819420783646,0.9991992806125077,Elite,1.5576361506334726,0.3871228733983996,2025-03-28,2025-09-30
680737,"Helman, Michael",R,70.122550105,0.7473684210526316,190,0.9680641178138129,94.20783645655877,0.8504313807773649,Elite,-0.5253263929184357,2.801968905636915,2025-03-28,2025-09-30
669720,"Hays, Austin",R,71.906863226,0.6592178770949719,716,0.9588519743123423,94.03747870528109,0.9992229454467825,Elite,0.150606199130967,1.7685890689152663,2025-03-28,2025-09-30
686894,"Wiemer, Joey",R,72.466694818,0.7181818181818181,110,0.9414852347665457,93.8671209540034,0.6671289163019205,Elite,0.3626813190402045,2.4598173367981837,2025-03-28,2025-09-30
660670,"Acuña Jr., Ronald",R,76.414268656,0.5091937765205092,707,0.9331914333533033,93.69676320272572,0.9991497668908332,Elite,1.858099239371555,0.00987183819216226,2025-03-28,2025-09-30
687952,"Encarnacion-Strand, Christian",R,73.655313886,0.6157205240174671,229,0.9309205234942912,93.52640545144804,0.8987335381461166,Elite,0.8129533918826215,1.258674034895218,2025-03-28,2025-09-30
701762,"Kurtz, Nick",L,77.216198269,0.4807692307692306,728,0.9186362505890993,93.35604770017035,0.9993108144363072,Elite,2.161885808879309,-0.323346212753183,2025-03-28,2025-09-30
595978,"Hedges, Austin",R,71.486815548,0.6677740863787377,301,0.8843377516185446,93.18568994889267,0.9507083212395379,Elite,-0.008516049331653305,1.8688926377379502,2025-03-28,2025-09-30
677800,"Abreu, Wilyer",L,74.09934894,0.5747282608695653,736,0.8790845920017112,93.01533219761498,0.9993638015404614,Elite,0.9811625259626342,0.7781259146365814,2025-03-28,2025-09-30
573262,"Yastrzemski, Mike",L,71.16166346,0.6694411414982163,841,0.8781771262142701,92.84497444633732,0.9997773701430811,Elite,-0.13168999849195492,1.8884353548878325,2025-03-28,2025-09-30
663609,"Baker, Luken",R,75.965784615,0.676923076923077,65,0.8756957940457998,92.67461669505963,0.47795422323898396,Elite,1.6882047422913413,1.9761453208231314,2025-03-28,2025-09-30
641343,"Bauers, Jake",L,76.470618812,0.5014492753623189,345,0.8707170752919247,92.50425894378195,0.9682543636219321,Elite,1.879445776904226,-0.0809161590570138,2025-03-28,2025-09-30
665161,"Peña, Jeremy",R,72.321859776,0.6293532338308457,804,0.8628737401744202,92.33390119250427,0.999677691049881,Elite,0.30781498184498407,1.4184889016961468,2025-03-28,2025-09-30
642133,"Tellez, Rowdy",L,74.76675938,0.5499999999999999,500,0.8553126764321717,92.16354344122658,0.9932620530009145,Elite,1.233990610540751,0.4882390343913988,2025-03-28,2025-09-30
543807,"Springer, George",R,73.733336474,0.5818777292576418,916,0.8521345139033258,91.9931856899489,0.99989483710195,Elite,0.8425098691200268,0.86193840340654,2025-03-28,2025-09-30
672356,"Arias, Gabriel",R,75.070014351,0.5382907880133183,901,0.849817475726617,91.82282793867121,0.9998778181439809,Elite,1.3488695049385118,0.35097313644358685,2025-03-28,2025-09-30
680718,"Barger, Addison",L,75.928020187,0.5099415204678364,855,0.8461044114596055,91.65247018739353,0.999806454900442,Elite,1.673898840818735,0.018637564227496232,2025-03-28,2025-09-30
682663,"Ramírez, Agustín",R,75.23016891,0.5322751322751322,945,0.8449292034230523,91.48211243611584,0.9999213104347282,Elite,1.4095391737983884,0.28045221773562906,2025-03-28,2025-09-30
694192,"Chourio, Jackson",R,73.878450743,0.5753564154786153,982,0.841440107229047,91.31175468483816,0.9999456464158039,Elite,0.897481982945853,0.7854897070556934,2025-03-28,2025-09-30
671277,"García Jr., Luis",L,72.395880768,0.6227064220183486,872,0.8380754212756517,91.14139693356049,0.9998367128090782,Elite,0.33585557651403436,1.3405690046979275,2025-03-28,2025-09-30
687515,"Thomas, Colby",R,74.815456818,0.5578512396694215,242,0.8348741765861856,90.9710391822828,0.9110783825406137,Elite,1.2524381493197412,0.5802783163219378,2025-03-28,2025-09-30
642215,"Wilson, Weston",R,74.060964902,0.5882352941176471,204,0.8278165658462026,90.80068143100512,0.8699712891215741,Elite,0.9666219041439006,0.9364674878797468,2025-03-28,2025-09-30
663330,"Jones, Jahmai",R,73.642146245,0.5949367088607594,237,0.8262890192910257,90.63032367972743,0.9065192737219415,Elite,0.8079652327935292,1.0150274894648506,2025-03-28,2025-09-30
668227,"Arozarena, Randy",R,72.327965463,0.6194444444444444,1080,0.8062121080245995,90.45996592844975,0.9999796004965888,Elite,0.3101279350994221,1.30232917427408,2025-03-28,2025-09-30
665862,"Chisholm Jr., Jazz",L,73.931329634,0.5675057208237986,874,0.8053562549192109,90.28960817717207,0.9998399461120905,Elite,0.9175135376307677,0.6934568142757839,2025-03-28,2025-09-30
692585,"Fernández, Yanquiel",L,74.534854241,0.5551724137931034,290,0.8008749731112059,90.11925042589438,0.9449767799435927,Elite,1.1461404233348242,0.5488747137757648,2025-03-28,2025-09-30
657757,"Sheets, Gavin",L,74.788836473,0.5388828039430449,913,0.8000468543239797,89.9488926746167,0.9998916344149007,Strong,1.242353843720389,0.35791327881061874,2025-03-28,2025-09-30
666969,"García, Adolis",R,72.132497497,0.6241206030150754,995,0.7965760612927663,89.77853492333901,0.9999522723660632,Strong,0.23608085929976955,1.3571473042963327,2025-03-28,2025-09-30
649966,"Urías, Luis",R,69.416380455,0.7128099173553717,484,0.7956614541877577,89.60817717206133,0.9920929459484066,Strong,-0.7928372217821579,2.3968430912667613,2025-03-28,2025-09-30
656305,"Chapman, Matt",R,74.957983748,0.5323565323565325,819,0.7936980516844959,89.43781942078365,0.9997225861157594,Strong,1.3064301286970792,0.28140646258824054,2025-03-28,2025-09-30
701350,"Anthony, Roman",L,75.14686412,0.527710843373494,415,0.789813239394076,89.26746166950596,0.9842355835151455,Strong,1.3779816954768291,0.22694552443387486,2025-03-28,2025-09-30
665487,"Tatis Jr., Fernando",R,73.961910779,0.5628042843232718,1027,0.7836931508797927,89.09710391822829,0.999965342624575,Strong,0.9290982714784365,0.6383423536593509,2025-03-28,2025-09-30
592518,"Machado, Manny",R,74.470826392,0.5449915110356539,1178,0.775699288620731,88.9267461669506,0.9999923438399587,Strong,1.1218854260316258,0.4295250290565702,2025-03-28,2025-09-30
608324,"Bregman, Alex",R,70.98959732,0.6572637517630465,709,0.7737591385654965,88.75638841567292,0.9991666026343933,Strong,-0.19687200642840527,1.745681056941924,2025-03-28,2025-09-30
624431,"Trevino, Jose",R,68.933789645,0.7251184834123222,422,0.7712363240352886,88.58603066439524,0.9853013554950982,Strong,-0.9756520278066186,2.5411351558547977,2025-03-28,2025-09-30
669394,"Burger, Jake",R,74.637040736,0.5367762128325508,639,0.757760438810013,88.41567291311755,0.9983217437986107,Strong,1.1848506595735635,0.33321792606444367,2025-03-28,2025-09-30
669065,"Stowers, Kyle",L,75.02034389,0.5236907730673317,802,0.7546877700767043,88.24531516183987,0.9996711799771859,Strong,1.330053366079881,0.17981865022437507,2025-03-28,2025-09-30
467793,"Santana, Carlos",R,71.271854993,0.6448230668414154,763,0.754579791345176,88.07495741056218,0.9995143391416597,Strong,-0.08994729781571464,1.599840176377471,2025-03-28,2025-09-30
672284,"Kelenic, Jarred",L,73.311628468,0.6396396396396397,111,0.7448043623797178,87.9045996592845,0.670441038924811,Strong,0.6827586560460478,1.53907538792645,2025-03-28,2025-09-30
605137,"Bell, Josh",R,73.09528,0.5829545454545456,880,0.7375705314281519,87.73424190800682,0.9998492669249045,Strong,0.6008016390628428,0.8745618098630011,2025-03-28,2025-09-30
683002,"Henderson, Gunnar",L,75.340720999,0.5098963242224316,1061,0.7347449714807375,87.56388415672913,0.9999753319087077,Strong,1.4514184601157831,0.018107733251986276,2025-03-28,2025-09-30
656577,"Jackson, Alex",R,76.106544651,0.5116279069767442,172,0.7306041561925947,87.39352640545145,0.8209338520885068,Strong,1.7415273877792126,0.038406901284132204,2025-03-28,2025-09-30
596142,"Sánchez, Gary",R,73.055663655,0.6206896551724137,145,0.728199535251869,87.22316865417376,0.7654297119062023,Strong,0.5857941953310132,1.3169266526443901,2025-03-28,2025-09-30
669236,"Jackson, Jeremiah",R,71.938815705,0.6238244514106583,319,0.7269767614042966,87.05281090289608,0.9588281290609323,Strong,0.16271042102940161,1.3536755492409764,2025-03-28,2025-09-30
678877,"Noel, Jhonkensy",R,77.88257625,0.4324324324324324,296,0.7226700594510546,86.88245315161839,0.9481810828272742,Strong,2.4143227778623872,-0.8899935699937672,2025-03-28,2025-09-30
641598,"Garver, Mitch",R,71.763671289,0.6229116945107398,419,0.70876853828418,86.71209540034071,0.984853715126953,Strong,0.0963623021389753,1.342975393191373,2025-03-28,2025-09-30
